,ZIP_CODE,ZCTA,Population
15186,36866,36866,3955
15187,36867,36867,22210
15188,36868,36867,22210
15189,36869,36869,18751
15190,36870,36870,18783
15191,36874,36874,7901
15192,36875,36875,4622
15193,36877,36877,11414
15194,36879,36879,2114
15195,36901,36901,329
15196,36904,36904,4098
15197,36907,36907,1930
15198,36908,36908,2417
15199,36910,36910,35
15200,36912,36912,2017
15201,36913,36913,53
15202,36915,36915,627
15203,36916,36916,709
15204,36919,36919,2143
15205,36921,36921,1035
15206,36922,36922,656
15207,36925,36925,3115
15208,37010,37010,4679
15209,37011,37013,78406
15210,37013,37013,78406
15211,37012,37012,2292
15212,37014,37014,1855
15213,37015,37015,17184
15214,37016,37016,793
15215,37018,37018,2259
15216,37019,37019,694
15217,37020,37020,5036
15218,37063,37020,5036
15219,37022,37022,5469
15220,37023,37023,1811
15221,37024,37027,49035
15222,37027,37027,49035
15223,37025,37025,6226
15224,37026,37026,2201
15225,37028,37028,676
15226,37029,37029,5628
15227,37030,37030,6982
15228,37031,37031,3712
15229,37032,37032,4493
15230,37033,37033,7805
15231,37034,37034,6591
15232,37035,37035,3766
15233,37036,37036,5862
15234,37037,37037,6312
15235,37040,37040,44924
15236,37041,37040,44924
15237,37044,37040,44924
15238,37042,37042,66916
15239,37043,37043,39945
15240,37046,37046,3665
15241,37047,37047,2345
15242,37048,37048,6030
15243,37049,37049,3244
15244,37050,37050,1699
15245,37051,37051,3677
15246,37052,37052,2656
15247,37055,37055,27024
15248,37056,37055,27024
15249,37057,37057,834
15250,37058,37058,7081
15251,37059,37059,1552
15252,37060,37060,2230
15253,37061,37061,5153
15254,37062,37062,10745
15255,37064,37064,48118
15256,37065,37064,48118
15257,37068,37064,48118
15258,37066,37066,42758
15259,37067,37067,23652
15260,37069,37069,18899
15261,37070,37072,30215
15262,37072,37072,30215
15263,37152,37072,30215
15264,37071,37122,46463
15265,37121,37122,46463
15266,37122,37122,46463
15267,37073,37073,13350
15268,37074,37074,6965
15269,37075,37075,59256
15270,37077,37075,59256
15271,37076,37076,35230
15272,37078,37078,674
15273,37079,37079,2578
15274,37080,37080,7384
15275,37082,37082,6107
15276,37083,37083,13909
15277,37085,37085,4035
15278,37086,37086,31513
15279,37089,37086,31513
15280,37087,37087,41132
15281,37088,37087,41132
15282,37090,37090,12922
